run,iteration,decision,functional_passed,speedup_percent,significant,median_seconds,robust_rsd_percent,peak_rss_bytes,tracemalloc_peak_bytes,read_bytes,write_bytes,lines_added,lines_deleted,patch_error
1,1,ACCEPT,True,37.94635227622599,True,0.024813108686430496,3.2567747859787763,17928192,3848,,,5,2,
1,2,ACCEPT,True,28.167109771890892,True,0.017823973124905024,1.7229428568397422,18071552,3608,,,1,1,
1,3,REJECT_FUNCTIONAL,False,,,,,,,,,,,ValueError: Unable to locate a unique old-source hunk in more_itertools/recipes.py; found 0 matches
